trip_id,stop_id,stop_sequence,departure_time,arrival_time,route_type,route_short_name,route_long_name
ddb-90-N15-1-1-224-R-60-Special#615-429-287,de:09773:7450:2:2,13,18:27:00,18:27:00,2,RB 15,
ddb-90-N15-1-1-224-R-60-Special#615-429-287,de:09773:5400:1:1,14,18:31:00,18:31:00,2,RB 15,
ddb-90-N15-1-1-224-R-60-Special#615-429-287,de:09773:5300:2:1,15,18:37:00,18:37:00,2,RB 15,
ddb-90-N15-1-1-224-R-60-Special#615-429-287,de:09773:5200:3:2,16,18:42:00,18:40:00,2,RB 15,
ddb-90-N15-1-1-224-R-60-Special#615-429-287,de:09773:7350:3:2,17,18:45:00,18:45:00,2,RB 15,
ddb-90-N15-1-1-224-R-60-Special#615-429-287,de:09774:2600:2:3,18,18:56:00,18:55:00,2,RB 15,
ddb-90-N15-1-1-224-R-60-Special#615-429-287,de:09774:2942:3:2,19,19:00:00,19:00:00,2,RB 15,
ddb-90-N15-1-1-224-R-60-Special#615-429-287,de:09775:4801:5:3,20,19:06:00,19:06:00,2,RB 15,
ddb-90-N15-1-1-224-R-60-Special#615-429-287,de:09775:1711:2:1,21,19:12:00,19:11:00,2,RB 15,
ddb-90-N15-1-1-224-R-60-Special#615-429-287,de:08421:1008:35:28,22,19:15:00,19:15:00,2,RB 15,
ddb-90-N15-1-1-225-R-61-Special#619-430-288,de:09161:9000:5:6,1,17:06:00,17:06:00,2,RB 15,
ddb-90-N15-1-1-225-R-61-Special#619-430-288,de:09185:8708:1:1,2,17:16:00,17:15:00,2,RB 15,
ddb-90-N15-1-1-225-R-61-Special#619-430-288,de:09185:8709:1:1,3,17:20:00,17:20:00,2,RB 15,
ddb-90-N15-1-1-225-R-61-Special#619-430-288,de:09185:7600:1:1,4,17:28:00,17:25:00,2,RB 15,
ddb-90-N15-1-1-225-R-61-Special#619-430-288,de:09185:7967:1:2,5,17:33:00,17:33:00,2,RB 15,
ddb-90-N15-1-1-225-R-61-Special#619-430-288,de:09185:8707:1:1,6,17:36:00,17:36:00,2,RB 15,
ddb-90-N15-1-1-225-R-61-Special#619-430-288,de:09185:7954:1:2,7,17:39:00,17:38:00,2,RB 15,
ddb-90-N15-1-1-225-R-61-Special#619-430-288,de:09779:5451:1:3,8,17:44:00,17:43:00,2,RB 15,
ddb-90-N15-1-1-225-R-61-Special#619-430-288,de:09779:6568:1:1,9,17:46:00,17:46:00,2,RB 15,
ddb-90-N15-1-1-225-R-61-Special#619-430-288,de:09779:5500:13:4,10,18:16:00,17:53:00,2,RB 15,
ddb-90-N15-1-1-225-R-61-Special#619-430-288,de:09779:6567:1:1,11,18:21:00,18:20:00,2,RB 15,
ddb-90-N15-1-1-225-R-61-Special#619-430-288,de:09773:6569:1:1,12,18:24:00,18:24:00,2,RB 15,
ddb-90-N15-1-1-225-R-61-Special#619-430-288,de:09773:7450:2:2,13,18:27:00,18:27:00,2,RB 15,
ddb-90-N15-1-1-225-R-61-Special#619-430-288,de:09773:5400:1:1,14,18:31:00,18:31:00,2,RB 15,
ddb-90-N15-1-1-225-R-61-Special#619-430-288,de:09773:5300:2:1,15,18:37:00,18:37:00,2,RB 15,
ddb-90-N15-1-1-225-R-61-Special#619-430-288,de:09773:5200:3:2,16,18:42:00,18:40:00,2,RB 15,
